cohort	source_paper_pmid	source_paper_short	key_gene_symbol	rationale_in_source_paper	confidence
Crohn	Liang_2020	Liang et al. — Crohn's thiopurine pharmacogenomics	MPG	Methylpurine glycosylase: repairs thiopurine-induced 3-methyladenine/hypoxanthine alkylation; central determinant of thiopurine response	HIGH
Crohn	Liang_2020	Liang et al. — Crohn's	APEX1	Cleaves AP sites generated by MPG; downstream effector in same DNA repair pathway	HIGH
Crohn	Liang_2020	Liang et al. — Crohn's	TPMT	Thiopurine methyltransferase — canonical pharmacogenetic determinant of thiopurine response	MEDIUM
Crohn	Liang_2020	Liang et al. — Crohn's	NUDT15	Recently established pharmacogenetic regulator of thiopurine metabolism	MEDIUM
Su_COVID	Su_2020	Su et al. — Multi-omics resolution of mol mechanisms in COVID-19	IL6	Canonical inflammatory marker in severe COVID; cited extensively	HIGH
Su_COVID	Su_2020	Su et al. — COVID multi-omics	IL1B	Inflammatory cytokine in cytokine release syndrome	HIGH
Su_COVID	Su_2020	Su et al. — COVID multi-omics	CXCL10	IFN-induced chemokine; central in COVID severity Su panel	HIGH
Su_COVID	Su_2020	Su et al. — COVID multi-omics	IDO1	Indoleamine 2,3-dioxygenase; Su et al. flag the kynurenine/tryptophan axis	HIGH
Su_COVID	Su_2020	Su et al. — COVID multi-omics	KYNU	Kynureninase; same kyn/trp axis	MEDIUM
Gao_RA	Gao_2022	Gao et al. — paired proteomics+metabolomics RA	IL6	Standard inflammatory cytokine in RA	HIGH
Gao_RA	Gao_2022	Gao et al. — paired prot+metab RA	TNF	Canonical RA target (anti-TNF biologics)	HIGH
Gao_RA	Gao_2022	Gao et al. — paired prot+metab RA	CRP	Acute-phase protein; standard RA clinical marker	HIGH
Gao_RA	Gao_2022	Gao et al. — paired prot+metab RA	IL1B	Inflammasome-driven cytokine in RA	MEDIUM
IDH_glioma	Trautwein_2022	Trautwein et al. — paired NMR+RNA glioma	IDH1	Mutant IDH1-R132H is THE neomorphic driver; central in source paper	HIGH
IDH_glioma	Trautwein_2022	Trautwein et al. — IDH-glioma	IDH2	Co-driver mutation; same neomorphic 2HG pathway	HIGH
IDH_glioma	Trautwein_2022	Trautwein et al.	D2HGDH	D-2HG dehydrogenase — canonical 2HG metabolic axis	HIGH
IDH_glioma	Trautwein_2022	Trautwein et al.	L2HGDH	L-2HG dehydrogenase — same axis	HIGH
IDH_glioma	Trautwein_2022	Trautwein et al.	OGDH	Oxoglutarate dehydrogenase — α-KG/2HG axis	MEDIUM
IDH_glioma	Trautwein_2022	Trautwein et al.	ACO2	Aconitase — TCA cycle; downstream of IDH	MEDIUM
IDH_glioma	Trautwein_2022	Trautwein et al.	PCMT1	Protein isoaspartate methyltransferase — recovered cleanly under z-score; relates to IDH-mut hypermethylation phenotype	HIGH
IDH_glioma	Trautwein_2022	Trautwein et al.	TET2	α-KG-dependent DNA demethylase; inhibited by 2HG	MEDIUM
TCGA_IDH_glioma	Brennan_2013_TCGA	TCGA glioma working group (Brennan et al.)	IDH1	Mutant IDH1 — same as Trautwein; canonical driver	HIGH
TCGA_IDH_glioma	Brennan_2013_TCGA	TCGA glioma	IDH2	Co-driver	HIGH
TCGA_IDH_glioma	Brennan_2013_TCGA	TCGA glioma	D2HGDH	Same 2HG axis	HIGH
TCGA_IDH_glioma	Brennan_2013_TCGA	TCGA glioma	L2HGDH	Same	HIGH
TCGA_IDH_glioma	Brennan_2013_TCGA	TCGA glioma	ATRX	Loss in IDH-mut astrocytomas; canonical co-mutation	HIGH
TCGA_IDH_glioma	Brennan_2013_TCGA	TCGA glioma	TP53	Co-mutated in IDH-mut astrocytomas	MEDIUM
TCGA_IDH_glioma	Brennan_2013_TCGA	TCGA glioma	TERT	Mutant in oligodendroglioma (1p19q codel + IDH-mut)	MEDIUM
Filbin_COVID	Filbin_2021	Filbin et al. — Olink proteomic COVID	IL6	Severity marker; Olink panel main result	HIGH
Filbin_COVID	Filbin_2021	Filbin et al. — Olink COVID	CXCL10	IFN-induced chemokine; central in severity signature	HIGH
Filbin_COVID	Filbin_2021	Filbin et al.	IFNG	IFN-γ; type I/II IFN response	HIGH
Filbin_COVID	Filbin_2021	Filbin et al.	TNF	Cytokine release syndrome marker	HIGH
Filbin_COVID	Filbin_2021	Filbin et al.	GAL	Galanin — flagged in original Olink severity panel	MEDIUM
Filbin_COVID	Filbin_2021	Filbin et al.	LPO	Lactoperoxidase — flagged in Filbin neutrophil-degranulation finding (also v5 §2 case)	HIGH
Filbin_COVID	Filbin_2021	Filbin et al.	GLO1	Glyoxalase 1 — methylglyoxal detoxification (recovered under z-score; may or may not be in source paper key panel)	MEDIUM
Erawijantari	Erawijantari_2020	Erawijantari et al. — gastric cancer microbiome multi-omic	NNMT	Nicotinamide N-methyltransferase — central in cohort paper's TMA finding	HIGH
Erawijantari	Erawijantari_2020	Erawijantari et al.	TMA	Trimethylamine biology — flagged in source paper	HIGH
Erawijantari	Erawijantari_2020	Erawijantari et al.	MSRB1	Methionine sulfoxide reductase — emerged under z-score; cross-reference w/ source paper TBD	LOW
Erawijantari	Erawijantari_2020	Erawijantari et al.	MSRB3	Same	LOW
KMPLOT_BRCA	KMPLOT_meta	Györffy et al. KMPLOT meta-cohort (uses Affymetrix microarray of survival cohorts)	ESR1	Estrogen receptor — central in breast cancer prognosis	HIGH
KMPLOT_BRCA	KMPLOT_meta	KMPLOT BRCA	ERBB2	HER2 amplification — prognostic axis	HIGH
KMPLOT_BRCA	KMPLOT_meta	KMPLOT BRCA	MKI67	Proliferation marker — grade prognostic	HIGH
KMPLOT_BRCA	KMPLOT_meta	KMPLOT BRCA	BRCA1	Hereditary cancer + DNA damage	MEDIUM
KMPLOT_BRCA	KMPLOT_meta	KMPLOT BRCA	BRCA2	Same	MEDIUM
KMPLOT_BRCA	KMPLOT_meta	KMPLOT BRCA	TP53	Tumor suppressor — common in BRCA	MEDIUM
TCGA_LUAD	Campbell_2016_TCGA	TCGA LUAD working group (Campbell et al.)	KRAS	Canonical adenocarcinoma driver mutation	HIGH
TCGA_LUAD	Campbell_2016_TCGA	TCGA LUAD	EGFR	Canonical adenocarcinoma driver	HIGH
TCGA_LUAD	Campbell_2016_TCGA	TCGA LUAD	TP53	Frequent co-mutation	HIGH
TCGA_LUAD	Campbell_2016_TCGA	TCGA LUAD	STK11	LKB1; commonly co-mutated with KRAS	HIGH
TCGA_LUAD	Campbell_2016_TCGA	TCGA LUAD	KEAP1	NRF2 pathway; KRAS-mut frequent	HIGH
TCGA_LUAD	Campbell_2016_TCGA	TCGA LUAD	DUSP4	Downstream of KRAS/MAPK; flagged in v5 §5	HIGH
TCGA_LUAD	Campbell_2016_TCGA	TCGA LUAD	DUSP6	Same MAPK negative-feedback axis	HIGH
TCGA_LUAD	Campbell_2016_TCGA	TCGA LUAD	SPRY2	MAPK negative regulator	MEDIUM
TCGA_LUAD	Campbell_2016_TCGA	TCGA LUAD	HBEGF	EGFR ligand; cited in v5 §5 for EGFR axis	MEDIUM
TCGA_LUAD	Campbell_2016_TCGA	TCGA LUAD	EREG	Same — EGFR ligand axis	MEDIUM
GSE89408_RA	Walsh_2017_GSE89408	Walsh et al. — synovial transcriptomics RA vs OA	CXCL13	B-cell germinal center chemokine; TLS marker	HIGH
GSE89408_RA	Walsh_2017_GSE89408	GSE89408 RA	CXCR5	CXCL13 receptor	HIGH
GSE89408_RA	Walsh_2017_GSE89408	GSE89408 RA	CXCL9	Th1 recruitment chemokine; TLS	HIGH
GSE89408_RA	Walsh_2017_GSE89408	GSE89408 RA	CXCL10	Same axis	HIGH
GSE89408_RA	Walsh_2017_GSE89408	GSE89408 RA	CXCL11	Same axis	MEDIUM
GSE89408_RA	Walsh_2017_GSE89408	GSE89408 RA	BAFF	TNFSF13B; B-cell survival	HIGH
GSE89408_RA	Walsh_2017_GSE89408	GSE89408 RA	APRIL	TNFSF13; B-cell survival	HIGH
GSE89408_RA	Walsh_2017_GSE89408	GSE89408 RA	TACI	TNFRSF13B; receptor	MEDIUM
GSE89408_RA	Walsh_2017_GSE89408	GSE89408 RA	PADI2	Peptidyl arginine deiminase — citrullination central PTM in RA	HIGH
GSE89408_RA	Walsh_2017_GSE89408	GSE89408 RA	PADI4	Same — PADI4 is RA susceptibility gene	HIGH
HMP2_IBD_CD	Lloyd_Price_2019_iHMP	Lloyd-Price et al. — iHMP2 IBD multi-omics	NOD2	Canonical CD susceptibility gene	HIGH
HMP2_IBD_CD	Lloyd_Price_2019_iHMP	HMP2 IBD	ATG16L1	Autophagy / CD susceptibility	HIGH
HMP2_IBD_CD	Lloyd_Price_2019_iHMP	HMP2 IBD	IL23R	IL23 receptor; CD risk	HIGH
HMP2_IBD_CD	Lloyd_Price_2019_iHMP	HMP2 IBD	CARD9	NF-kB pathway; CD risk	MEDIUM
HMP2_IBD_CD	Lloyd_Price_2019_iHMP	HMP2 IBD	IRGM	Autophagy; CD risk	MEDIUM
HMP2_IBD_CD	Lloyd_Price_2019_iHMP	HMP2 IBD	XBP1	UPR; CD-associated	MEDIUM
HMP2_IBD_CD	Lloyd_Price_2019_iHMP	HMP2 IBD	NLRP3	Inflammasome — IBD related	MEDIUM
CorEvitas_RA	CorEvitas_internal	CorEvitas RA registry (internal not v5 panel)	MTX_response_proxy	NOT a single-gene; future treatment response label is composite	LOW
CorEvitas_RA	CorEvitas_internal	CorEvitas RA	IL6	Standard RA marker (any RA cohort)	MEDIUM
CorEvitas_RA	CorEvitas_internal	CorEvitas RA	TNF	Standard RA marker	MEDIUM
