cohort	pc	category	n_genes	n_obs	cindex	cindex_std
KMPLOT_BRCA	PC2+	OXPHOS	25	3	0.5048396800333196	0.056895438171802086
KMPLOT_BRCA	PC7+	DNA damage	9	3	0.4011411563388344	0.09421392616552231
KMPLOT_BRCA	PC4-	DNA damage	7	3	0.38173860390271896	0.11353633113478764
TCGA_LUAD	PC2-	T cell/MHC	153	149	0.5771392644228915	0.04820838349516632
TCGA_LUAD	PC7-	Collagen/ECM	116	115	0.5378793503965926	0.04775498580309129
TCGA_LUAD	PC1-	DNA damage	87	86	0.5899556333773883	0.039523166289953136
TCGA_LUAD	PC6-	Collagen/ECM	77	77	0.6021896716472741	0.07033204969782347
TCGA_LUAD	PC3+	Collagen/ECM	72	72	0.5413047230102637	0.04879753993491964
TCGA_LUAD	PC4+	T cell/MHC	72	68	0.6079999733343796	0.06844143079850121
TCGA_LUAD	PC7+	DNA damage	62	61	0.5652938597887351	0.04189658505004387
TCGA_LUAD	PC1+	T cell/MHC	53	43	0.5675656723874163	0.03675658060244852
TCGA_LUAD	PC3-	T cell/MHC	43	33	0.5777144273987803	0.037182271287271744
TCGA_LUAD	PC6+	T cell/MHC	42	32	0.5775257983988273	0.04177895849536133
TCGA_LUAD	PC5+	Collagen/ECM	37	37	0.5422447191781503	0.032403149038747504
TCGA_LUAD	PC2+	Ribosome	29	29	0.4798701200530993	0.0512289546582693
TCGA_LUAD	PC5-	T cell/MHC	15	15	0.5432243374999074	0.06147519971327142
TCGA_LUAD	PC4-	DNA damage	10	10	0.4859509600057497	0.025023726198992232
