cohort	n_tests	GIZMO_pass_raw	GIZMO_pass_bonf_cohort	GIZMO_pass_bonf_global	MOFA_pass_raw	MOFA_pass_bonf_cohort	MOFA_pass_bonf_global
Crohn	1	False	False	False	False	False	False
Gao_RA	3	True	True	True	True	True	True
Su_COVID	2	True	False	False	True	True	False
Erawijantari	11	True	True	False	True	True	True
IDH_glioma	3	True	True	True	True	True	True
Filbin_COVID	25	True	True	True	True	True	True
CPTAC_CCRCC	7	True	True	True	False	False	False
CPTAC_COAD	26	True	True	True	True	True	True
CPTAC_OV	3	False	False	False	True	True	False
GSE65391_SLE	72	True	True	True	True	True	True
GSE65682_sepsis	12	False	False	False	False	False	False
