cohort	K	truth_n	F_alpha_recall	TopPR_recall	null_expected	F_alpha_fold	TopPR_fold
CorEvitas_RA	50	2	0	0	0.01	0.0	0.0
CorEvitas_RA	200	2	0	0	0.02	0.0	0.0
CorEvitas_RA	500	2	0	1	0.06	0.0	16.34
GSE89408_RA	50	7	0	0	0.02	0.0	0.0
GSE89408_RA	200	7	0	0	0.09	0.0	0.0
GSE89408_RA	500	7	0	0	0.21	0.0	0.0
Gao_RA	50	4	0	0	0.01	0.0	0.0
Gao_RA	200	4	0	0	0.05	0.0	0.0
Gao_RA	500	4	1	1	0.12	8.17	8.17
Crohn	50	4	0	0	0.01	0.0	0.0
Crohn	200	4	0	0	0.05	0.0	0.0
Crohn	500	4	1	1	0.12	8.17	8.17
HMP2_IBD_CD	50	6	0	1	0.02	0.0	54.48
HMP2_IBD_CD	200	6	0	1	0.07	0.0	13.62
HMP2_IBD_CD	500	6	1	1	0.18	5.45	5.45
Filbin_COVID	50	7	1	0	0.02	46.69	0.0
Filbin_COVID	200	7	2	0	0.09	23.35	0.0
Filbin_COVID	500	7	2	1	0.21	9.34	4.67
Su_COVID	50	5	2	0	0.02	130.74	0.0
Su_COVID	200	5	2	0	0.06	32.69	0.0
Su_COVID	500	5	2	0	0.15	13.07	0.0
KMPLOT_BRCA	50	5	1	2	0.02	65.37	130.74
KMPLOT_BRCA	200	5	1	3	0.06	16.34	49.03
KMPLOT_BRCA	500	5	3	3	0.15	19.61	19.61
TCGA_LUAD	50	10	0	3	0.03	0.0	98.06
TCGA_LUAD	200	10	1	5	0.12	8.17	40.86
TCGA_LUAD	500	10	2	5	0.31	6.54	16.34
IDH_glioma	50	8	0	0	0.02	0.0	0.0
IDH_glioma	200	8	1	0	0.1	10.21	0.0
IDH_glioma	500	8	2	0	0.24	8.17	0.0
TCGA_IDH_glioma	50	7	0	1	0.02	0.0	46.69
TCGA_IDH_glioma	200	7	1	1	0.09	11.67	11.67
TCGA_IDH_glioma	500	7	2	1	0.21	9.34	4.67
